Player Name,Year,Salary
Olumide Oyedeji,2001,316969.0
Ruben Wolkowyski,2001,316969.0
Pepe Sanchez,2001,316969.0
Ademola Okulaja,2001,316969.0
Daniel Santiago,2001,316969.0
Paul McPherson,2001,316969.0
Ruben Garces,2001,316969.0
Jabari Smith,2001,316969.0
Ira Newble,2001,316969.0
Chris Carrawell,2001,316969.0
Garth Joseph,2001,316969.0
Mike Smith,2001,316969.0
Mark Karcher,2001,50000.0
Anthony Miller,2001,40000.0
Jamal Robinson,2001,40000.0
Shaquille O'Neal,2002,21428572.0
Kevin Garnett,2002,22400000.0
Alonzo Mourning,2002,18754800.0
Juwan Howard,2002,18750000.0
Scottie Pippen,2002,18083564.0
Karl Malone,2002,17500000.0
Larry Johnson,2002,11335714.0
Gary Payton,2002,12926493.0
Rasheed Wallace,2002,14400000.0
Shawn Kemp,2002,12660000.0
Damon Stoudamire,2002,12375000.0
Antonio McDyess,2002,11700000.0
Ray Allen,2002,11250000.0
Antoine Walker,2002,11250000.0
Stephon Marbury,2002,11250000.0
Vlade Divac,2002,10444642.0
Bryant Reeves,2002,11555554.0
Tom Gugliotta,2002,10114000.0
Nick Van Exel,2002,10164642.0
Elden Campbell,2002,7975000.0
Terrell Brandon,2002,9300000.0
Derrick Coleman,2002,8710000.0
Glenn Robinson,2002,8990000.0
Steve Smith,2002,9000000.0
Kerry Kittles,2002,8166667.0
Chris Dudley,2002,7200000.0
Theo Ratliff,2002,9667969.0
Matt Geiger,2002,8142160.0
Jason Kidd,2002,8447500.0
Kenny Anderson,2002,8350000.0
Tyrone Hill,2002,6600000.0
Clifford Robinson,2002,7656250.0
Jamal Mashburn,2002,6975000.0
Steve Nash,2002,5750000.0
Alan Henderson,2002,6500312.0
Donyell Marshall,2002,6510000.0
Marcus Camby,2002,7300000.0
Greg Ostertag,2002,6933328.0
Luc Longley,2002,6325000.0
Jermaine O'Neal,2002,6325000.0
Erick Dampier,2002,6235000.0
Wesley Person,2002,6300000.0
Isaac Austin,2002,5695715.0
Loy Vaught,2002,5222025.0
Derrick McKey,2002,6000000.0
Robert Horry,2002,5300000.0
Jim McIlvaine,2002,6000000.0
Jerry Stackhouse,2002,5843750.0
Charlie Ward,2002,5110000.0
Dale Davis,2002,7010000.0
Lorenzen Wright,2002,5500000.0
Mookie Blaylock,2002,5400000.0
Chris Mills,2002,5400000.0
Chris Childs,2002,5200000.0
Darrell Armstrong,2002,4005000.0
Bryon Russell,2002,5142857.0
Brent Barry,2002,4680000.0
Jason Caffey,2002,4812500.0
Vitaly Potapenko,2002,4762500.0
Bob Sura,2002,5213333.0
Walt Williams,2002,5000000.0
Scott Williams,2002,4650000.0
Sam Cassell,2002,4350000.0
Michael Olowokandi,2002,4662472.0
Elton Brand,2002,3882360.0
Eric Williams,2002,4448000.0
Travis Best,2002,3375000.0
Michael Stewart,2002,3840000.0
Derek Strong,2002,3861000.0
Mike Bibby,2002,4174893.0
Rick Fox,2002,3791250.0
Steve Francis,2002,3473520.0
Derek Fisher,2002,3000000.0
Eric Snow,2002,3750000.0
Ervin Johnson,2002,3670929.0
Brent Price,2002,3680000.0
Travis Knight,2002,3600000.0
Raef LaFrentz,2002,3755142.0
Tracy Murray,2002,3400000.0
Tyrone Nesby,2002,3260000.0
Baron Davis,2002,3119400.0
Vonteego Cummings,2002,810000.0
David Wesley,2002,3240000.0
Dean Garrett,2002,3240000.0
Antawn Jamison,2002,3388176.0
Walter McCarty,2002,3125000.0
Anthony Peeler,2002,2978500.0
Lamar Odom,2002,2812320.0
Lawrence Funderburke,2002,3025000.0
Lindsey Hunter,2002,3425760.0
Malik Rose,2002,2285000.0
Vince Carter,2002,3073032.0
Jonathan Bender,2002,2546760.0
Dell Curry,2002,2100000.0
Robert Traylor,2002,2793505.0
Othella Harrington,2002,2475000.0
Wally Szczerbiak,2002,2313240.0
Terry Porter,2002,2400000.0
Rodney Rogers,2002,2400000.0
Jamie Feick,2002,2400000.0
Eric Montross,2002,2480000.0
Chris Crawford,2002,2500000.0
Steve Kerr,2002,2406250.0
Vinny Del Negro,2002,2275000.0
Sean Rooks,2002,2400000.0
Lucious Harris,2002,2400000.0
Jason Williams,2002,2554072.0
Richard Hamilton,2002,2111640.0
Larry Hughes,2002,2343635.0
Andre Miller,2002,1934520.0
Dirk Nowitzki,2002,2157595.0
