,Player Code,Draft Number Picked,Draft Year,Player Name,College Name,Seasons in NBA
243,lillada01,6,2012,Damian Lillard,Weber State,8.0
244,barneha02,7,2012,Harrison Barnes,UNC,8.0
245,rosste01,8,2012,Terrence Ross,Washington,8.0
246,drumman01,9,2012,Andre Drummond,UConn,8.0
247,riverau01,10,2012,Austin Rivers,Duke,8.0
248,leoname01,11,2012,Meyers Leonard,Illinois,8.0
249,lambje01,12,2012,Jeremy Lamb,UConn,8.0
250,marshke01,13,2012,Kendall Marshall,UNC,4.0
251,hensojo01,14,2012,John Henson,UNC,8.0
252,bennean01,1,2013,Anthony Bennett,UNLV,4.0
253,oladivi01,2,2013,Victor Oladipo,Indiana,7.0
254,porteot01,3,2013,Otto Porter,Georgetown,7.0
255,zelleco01,4,2013,Cody Zeller,Indiana,7.0
256,lenal01,5,2013,Alex Len,Maryland,7.0
257,noelne01,6,2013,Nerlens Noel,Kentucky,6.0
258,mclembe01,7,2013,Ben McLemore,Kansas,7.0
259,caldwke01,8,2013,Kentavious Caldwell-Pope,Georgia,7.0
260,burketr01,9,2013,Trey Burke,Michigan,7.0
261,mccolcj01,10,2013,CJ McCollum,Lehigh,7.0
262,cartemi01,11,2013,Michael Carter-Williams,Syracuse,7.0
263,adamsst01,12,2013,Steven Adams,Pitt,7.0
264,olynyke01,13,2013,Kelly Olynyk,Gonzaga,7.0
265,muhamsh01,14,2013,Shabazz Muhammad,UCLA,5.0
266,wiggian01,1,2014,Andrew Wiggins,Kansas,6.0
267,parkeja01,2,2014,Jabari Parker,Duke,6.0
268,embiijo01,3,2014,Joel Embiid,Kansas,4.0
269,gordoaa01,4,2014,Aaron Gordon,Arizona,6.0
270,exumda01,5,2014,Dante Exum,,5.0
271,smartma01,6,2014,Marcus Smart,Oklahoma State,6.0
272,randlju01,7,2014,Julius Randle,Kentucky,6.0
273,stausni01,8,2014,Nik Stauskas,Michigan,5.0
274,vonleno01,9,2014,Noah Vonleh,Indiana,6.0
275,paytoel01,10,2014,Elfrid Payton,LA-Lafayette,6.0
276,mcderdo01,11,2014,Doug McDermott,Creighton,6.0
277,saricda01,12,2014,Dario Šarić,,4.0
278,lavinza01,13,2014,Zach LaVine,UCLA,6.0
279,warretj01,14,2014,T.J. Warren,NC State,6.0
280,townska01,1,2015,Karl-Anthony Towns,Kentucky,5.0
281,russeda01,2,2015,D'Angelo Russell,Ohio State,5.0
282,okafoja01,3,2015,Jahlil Okafor,Duke,5.0
283,porzikr01,4,2015,Kristaps Porziņģis,,4.0
284,hezonma01,5,2015,Mario Hezonja,,5.0
285,caulewi01,6,2015,Willie Cauley-Stein,Kentucky,5.0
286,mudiaem01,7,2015,Emmanuel Mudiay,,5.0
287,johnsst04,8,2015,Stanley Johnson,Arizona,5.0
288,kaminfr01,9,2015,Frank Kaminsky,Wisconsin,5.0
289,winslju01,10,2015,Justise Winslow,Duke,5.0
290,turnemy01,11,2015,Myles Turner,Texas,5.0
291,lylestr01,12,2015,Trey Lyles,Kentucky,5.0
292,bookede01,13,2015,Devin Booker,Kentucky,5.0
293,payneca01,14,2015,Cameron Payne,Murray State,5.0
294,simmobe01,1,2016,Ben Simmons,LSU,3.0
295,ingrabr01,2,2016,Brandon Ingram,Duke,4.0
296,brownja02,3,2016,Jaylen Brown,California,4.0
297,bendedr01,4,2016,Dragan Bender,,4.0
298,dunnkr01,5,2016,Kris Dunn,Providence,4.0
299,hieldbu01,6,2016,Buddy Hield,Oklahoma,4.0
300,murraja01,7,2016,Jamal Murray,Kentucky,4.0
301,chrisma01,8,2016,Marquese Chriss,Washington,4.0
302,poeltja01,9,2016,Jakob Pöltl,Utah,4.0
303,makerth01,10,2016,Thon Maker,,4.0
304,sabondo01,11,2016,Domantas Sabonis,Gonzaga,4.0
305,princta02,12,2016,Taurean Waller-Prince,Baylor,4.0
306,papagge01,13,2016,Georgios Papagiannis,,2.0
307,valende01,14,2016,Denzel Valentine,Michigan State,3.0
308,fultzma01,1,2017,Markelle Fultz,Washington,3.0
309,balllo01,2,2017,Lonzo Ball,UCLA,3.0
310,tatumja01,3,2017,Jayson Tatum,Duke,3.0
311,jacksjo02,4,2017,Josh Jackson,Kansas,3.0
312,foxde01,5,2017,De'Aaron Fox,Kentucky,3.0
313,isaacjo01,6,2017,Jonathan Isaac,Florida State,3.0
314,markkla01,7,2017,Lauri Markkanen,Arizona,3.0
315,ntilila01,8,2017,Frank Ntilikina,,3.0
316,smithde03,9,2017,Dennis Smith,NC State,3.0
317,colliza01,10,2017,Zach Collins,Gonzaga,3.0
318,monkma01,11,2017,Malik Monk,Kentucky,3.0
319,kennalu01,12,2017,Luke Kennard,Duke,3.0
320,mitchdo01,13,2017,Donovan Mitchell,Louisville,3.0
321,adebaba01,14,2017,Bam Adebayo,Kentucky,3.0
322,aytonde01,1,2018,Deandre Ayton,Arizona,2.0
323,baglema01,2,2018,Marvin Bagley,Duke,2.0
324,doncilu01,3,2018,Luka Dončić,,2.0
325,jacksja02,4,2018,Jaren Jackson,Michigan State,2.0
326,youngtr01,5,2018,Trae Young,Oklahoma,2.0
327,bambamo01,6,2018,Mohamed Bamba,Texas,2.0
328,cartewe01,7,2018,Wendell Carter,Duke,2.0
329,sextoco01,8,2018,Collin Sexton,Alabama,2.0
