,Player Name,Seasons in NBA,First Season Played,Last Season Played
1093,Elmer Gainer,2,1948,1950
1094,Chad Gallagher,1,1994,1994
1095,Harry Gallatin,10,1949,1958
1096,Kevin Gamble,10,1988,1997
1097,Bill Garner,1,1968,1968
1098,Billy Garrett,1,2019,2019
1099,Kiwane Lemorris Garris,2,1998,2000
1100,Kendall Gill,15,1991,2005
1101,Jordan Goodwin,1,2022,2022
1102,Bato Govedarica,1,1954,1954
1103,Rickey Green,14,1978,1992
1104,Derek Grimm,1,1998,1998
1105,A.J. Guyton,3,2001,2003
1106,Mike Hall,1,2007,2007
1107,Tyler Hall,1,2022,2022
1108,Thomas Hamilton,2,1996,2000
1109,Julian Hammond,5,1968,1972
1110,Don Hanrahan,1,1953,1953
1111,Luke Harangody,2,2011,2012
1112,Tim Hardaway,13,1990,2003
1113,Mike Harper,2,1981,1982
1114,Billy Harris,1,1975,1975
1115,Hersey Hawkins,13,1989,2001
1116,Tom Hawkins,10,1960,1969
1117,Nate Hawthorne,3,1974,1976
1118,John Hazen,1,1949,1949
1119,Luther Head,6,2006,2011
1120,Don Henriksen,2,1953,1955
1121,Myke Henry,1,2018,2018
1122,Phil Hicks,2,1977,1979
1123,Lew Hitch,6,1952,1957
1124,Craig Hodges,10,1983,1992
1125,Randy Holcomb,1,2006,2006
1126,Richaun Holmes,7,2016,2022
1127,Jeff Hornacek,14,1987,2000
1128,Ed Horton,1,1990,1990
1129,Talen Horton-Tucker,3,2020,2022
1130,Juwan Howard,19,1995,2013
1131,Troy Hudson,11,1998,2008
1132,Alfredrick Hughes,1,1986,1986
1133,Kim Hughes,6,1976,1981
1134,Steven Hunter,8,2002,2010
1135,Andre Iguodala,18,2005,2022
1136,Byron Irvin,3,1990,1993
1137,Dan Issel,15,1971,1985
1138,Fred Jacobs,1,1947,1947
1139,Othyus Jeffers,3,2010,2014
1140,Armon Johnson,2,2011,2012
1141,Eddie Johnson,17,1982,1999
1142,Linton Johnson,6,2004,2009
1143,Mickey Johnson,12,1975,1986
1144,Reggie Jordan,6,1994,2000
1145,Johnny Jorgensen,2,1948,1949
1146,Whitey Kachan,1,1949,1949
1147,Frank Kaminsky,7,2016,2022
1148,Wilbert Kautz,1,1947,1947
1149,Red Kerr,12,1955,1966
1150,Jack Kerris,4,1950,1953
1151,Walt Kirk,3,1949,1952
1152,John Konchar,3,2020,2022
1153,Tom Kondla,1,1969,1969
1154,Ronald Kozlicki,1,1968,1968
1155,Steve Kuberski,9,1970,1978
1156,C.J. Kupec,3,1976,1978
1157,Bob Lackey,2,1973,1974
1158,Sean Lampley,2,2003,2004
1159,Dan Langhi,4,2001,2004
1160,Priest Lauderdale,2,1997,1998
1161,Bob Lavoy,4,1951,1954
1162,Vic Law,1,2020,2020
1163,Doug Lee,3,1992,1995
1164,Walt Lemon Jr.,2,2018,2019
1165,Gary Leonard,3,1990,1992
