,Player Name,Birth Year,Age,Seasons in NBA,Team (3 Letter)
440,Rayan Rupert,,19.0,1,POR
441,Reggie Bullock,,32.0,11,HOU
442,Reggie Jackson,,33.0,13,DEN
443,Richaun Holmes,,30.0,9,DAL
444,Robert Covington,,33.0,11,TOT
445,Robert Covington,,33.0,11,LAC
446,Robert Covington,,33.0,11,PHI
447,Robert Williams,,26.0,6,POR
448,Robin Lopez,,35.0,16,MIL
449,Ron Harper Jr.,,23.0,2,TOR
450,Royce O'Neale,,30.0,7,BRK
451,Rudy Gobert,,31.0,11,MIN
452,Rui Hachimura,,25.0,5,LAL
453,Russell Westbrook,,35.0,16,LAC
454,Ryan Arcidiacono,,29.0,7,NYK
455,Ryan Rollins,,21.0,2,WAS
456,Saben Lee,,24.0,4,PHO
457,Saddiq Bey,,24.0,4,ATL
458,Sam Hauser,,26.0,3,BOS
459,Sam Merrill,,27.0,4,CLE
460,Sandro Mamukelashvili,,24.0,3,SAS
461,Santi Aldama,,23.0,3,MEM
462,Sasha Vezenkov,,28.0,1,SAC
463,Scoot Henderson,,19.0,1,POR
464,Scottie Barnes,,22.0,3,TOR
465,Seth Curry,,33.0,10,DAL
466,Seth Lundy,,23.0,1,ATL
467,Shaedon Sharpe,,20.0,2,POR
468,Shai Gilgeous-Alexander,,25.0,6,OKC
469,Shake Milton,,27.0,6,MIN
470,Shaquille Harrison,,30.0,7,MEM
471,Sidy Cissoko,,19.0,1,SAS
472,Simone Fontecchio,,28.0,2,UTA
473,Skylar Mays,,26.0,4,POR
474,Spencer Dinwiddie,,30.0,10,BRK
475,Stanley Umude,,24.0,2,DET
476,Stephen Curry,,35.0,15,GSW
477,Svi Mykhailiuk,,26.0,6,BOS
478,T.J. McConnell,,31.0,9,IND
479,Taj Gibson,,38.0,15,NYK
480,Talen Horton-Tucker,,23.0,5,UTA
481,Tari Eason,,22.0,2,HOU
482,Taurean Prince,,29.0,8,LAL
483,Taylor Hendricks,,20.0,1,UTA
484,Terance Mann,,27.0,5,LAC
485,Terry Rozier,,29.0,9,CHO
486,Terry Taylor,,24.0,3,CHI
487,Thaddeus Young,,35.0,17,TOR
488,Thanasis Antetokounmpo,,31.0,6,MIL
489,Thomas Bryant,,26.0,7,MIA
490,Théo Maledon,,22.0,4,CHO
491,Tim Hardaway Jr.,,31.0,11,DAL
492,Tobias Harris,,31.0,13,PHI
493,Torrey Craig,,33.0,7,CHI
494,Toumani Camara,,23.0,1,POR
495,Trae Young,,25.0,6,ATL
496,Trayce Jackson-Davis,,23.0,1,GSW
497,Tre Jones,,24.0,4,SAS
498,Tre Mann,,22.0,3,OKC
499,Trendon Watford,,23.0,3,BRK
500,Trent Forrest,,25.0,4,ATL
501,Trevelin Queen,,26.0,3,ORL
502,Trey Lyles,,28.0,9,SAC
503,Trey Murphy III,,23.0,3,NOP
504,Tristan Thompson,,32.0,12,CLE
505,Troy Brown Jr.,,24.0,6,MIN
506,Ty Jerome,,26.0,5,CLE
507,TyTy Washington Jr.,,22.0,2,MIL
508,Tyler Herro,,24.0,5,MIA
509,Tyrese Haliburton,,23.0,4,IND
510,Tyrese Maxey,,23.0,4,PHI
511,Tyus Jones,,27.0,9,WAS
512,Udoka Azubuike,,24.0,4,PHO
513,Usman Garuba,,21.0,3,GSW
514,Vasilije Micić,,30.0,1,OKC
515,Victor Wembanyama,,20.0,1,SAS
516,Vince Williams Jr.,,23.0,2,MEM
517,Walker Kessler,,22.0,2,UTA
518,Wendell Carter Jr.,,24.0,6,ORL
519,Wendell Moore Jr.,,22.0,2,MIN
520,Wesley Matthews,,37.0,15,ATL
521,Xavier Moon,,29.0,3,LAC
522,Xavier Tillman Sr.,,25.0,4,MEM
523,Yuta Watanabe,,29.0,6,PHO
524,Zach Collins,,26.0,6,SAS
525,Zach LaVine,,28.0,10,CHI
526,Zeke Nnaji,,23.0,4,DEN
527,Ziaire Williams,,22.0,3,MEM
528,Zion Williamson,,23.0,4,NOP
529,A.J. Green,,23.0,1,MIL
530,A.J. Lawson,,22.0,1,TOT
531,A.J. Lawson,,22.0,1,MIN
532,A.J. Lawson,,22.0,1,DAL
533,AJ Griffin,,19.0,1,ATL
534,Aaron Gordon,,27.0,9,DEN
535,Aaron Holiday,,26.0,5,ATL
536,Aaron Nesmith,,23.0,3,IND
537,Aaron Wiggins,,24.0,2,OKC
538,Admiral Schofield,,25.0,3,ORL
539,Al Horford,,36.0,16,BOS
540,Alec Burks,,31.0,12,DET
541,Aleksej Pokusevski,,21.0,3,OKC
542,Alex Caruso,,28.0,6,CHI
543,Alex Len,,29.0,10,SAC
544,Alize Johnson,,26.0,5,SAS
545,Alondes Williams,,23.0,1,BRK
546,Alperen Şengün,,20.0,2,HOU
547,Amir Coffey,,25.0,4,LAC
548,Andre Drummond,,29.0,11,CHI
549,Andre Iguodala,,39.0,19,GSW
550,Andrew Nembhard,,23.0,1,IND
551,Andrew Wiggins,,27.0,9,GSW
552,Anfernee Simons,,23.0,5,POR
553,Anthony Davis,,29.0,11,LAL
554,Anthony Edwards,,21.0,3,MIN
555,Anthony Gill,,30.0,3,WAS
556,Anthony Lamb,,25.0,3,GSW
557,Austin Reaves,,24.0,2,LAL
558,Austin Rivers,,30.0,11,MIN
559,Ayo Dosunmu,,23.0,2,CHI
560,Bam Adebayo,,25.0,6,MIA
561,Ben Simmons,,26.0,5,BRK
562,Bennedict Mathurin,,20.0,1,IND
563,Bismack Biyombo,,30.0,12,PHO
564,Blake Griffin,,33.0,13,BOS
565,Blake Wesley,,19.0,1,SAS
566,Boban Marjanović,,34.0,8,HOU
567,Bobby Portis,,27.0,8,MIL
568,Bogdan Bogdanović,,30.0,6,ATL
569,Bojan Bogdanović,,33.0,9,DET
570,Bol Bol,,23.0,4,ORL
571,Bones Hyland,,22.0,2,TOT
572,Bones Hyland,,22.0,2,DEN
573,Bones Hyland,,22.0,2,LAC
574,Bradley Beal,,29.0,11,WAS
575,Brandon Boston Jr.,,21.0,2,LAC
576,Brandon Clarke,,26.0,4,MEM
577,Brandon Ingram,,25.0,7,NOP
578,Braxton Key,,25.0,2,DET
579,Brook Lopez,,34.0,15,MIL
580,Bruce Brown,,26.0,5,DEN
581,Bruno Fernando,,24.0,4,TOT
582,Bruno Fernando,,24.0,4,HOU
583,Bruno Fernando,,24.0,4,ATL
584,Bryce McGowens,,20.0,1,CHO
585,Bryn Forbes,,29.0,7,MIN
586,Buddy Boeheim,,23.0,1,DET
587,Buddy Hield,,30.0,7,IND
588,CJ McCollum,,31.0,10,NOP
589,Cade Cunningham,,21.0,2,DET
590,Caleb Houstan,,20.0,1,ORL
591,Caleb Martin,,27.0,4,MIA
592,Cam Reddish,,23.0,4,TOT
593,Cam Reddish,,23.0,4,NYK
594,Cam Reddish,,23.0,4,POR
595,Cam Thomas,,21.0,2,BRK
596,Cameron Johnson,,26.0,4,TOT
597,Cameron Johnson,,26.0,4,PHO
598,Cameron Johnson,,26.0,4,BRK
599,Cameron Payne,,28.0,8,PHO
600,Caris LeVert,,28.0,7,CLE
601,Carlik Jones,,25.0,2,CHI
602,Cedi Osman,,27.0,6,CLE
603,Charles Bassey,,22.0,2,SAS
604,Chima Moneke,,27.0,1,SAC
605,Chimezie Metu,,25.0,5,SAC
606,Chris Boucher,,30.0,6,TOR
607,Chris Duarte,,25.0,2,IND
608,Chris Paul,,37.0,18,PHO
609,Chris Silva,,26.0,4,DAL
610,Christian Braun,,21.0,1,DEN
611,Christian Koloko,,22.0,1,TOR
612,Christian Wood,,27.0,7,DAL
613,Chuma Okeke,,24.0,3,ORL
614,Clint Capela,,28.0,9,ATL
615,Coby White,,22.0,4,CHI
616,Cody Martin,,27.0,4,CHO
617,Cody Zeller,,30.0,10,MIA
618,Cole Anthony,,22.0,3,ORL
619,Cole Swider,,23.0,1,LAL
620,Collin Sexton,,24.0,5,UTA
621,Corey Kispert,,23.0,2,WAS
622,Cory Joseph,,31.0,12,DET
623,D'Angelo Russell,,26.0,8,TOT
624,D'Angelo Russell,,26.0,8,MIN
625,D'Angelo Russell,,26.0,8,LAL
626,Daishen Nix,,20.0,2,HOU
627,Dalano Banton,,23.0,2,TOR
628,Dalen Terry,,20.0,1,CHI
629,Damian Jones,,27.0,7,TOT
630,Damian Jones,,27.0,7,LAL
631,Damian Jones,,27.0,7,UTA
632,Damian Lillard,,32.0,11,POR
633,Damion Lee,,30.0,6,PHO
634,Daniel Gafford,,24.0,4,WAS
635,Daniel Theis,,30.0,6,IND
636,Danny Green,,35.0,14,TOT
637,Danny Green,,35.0,14,MEM
638,Danny Green,,35.0,14,CLE
