,Player Name,Team (3 Letter),Age,Player Height,Player Weight,Season,Salary
246,Bryant Reeves,VAN,27,213.36,124.7378,1999-00,8666000.0
247,Bruno Sundov,DAL,20,218.44,99.79024,1999-00,
248,Bruce Bowen,MIA,29,200.66,90.7184,1999-00,
249,Brian Skinner,LAC,24,205.74,115.66596,1999-00,843000.0
250,Brian Shaw,LAL,34,198.12,90.7184,1999-00,
251,Brian Grant,POR,28,205.74,115.212368,1999-00,
252,Brevin Knight,CLE,24,177.8,77.11064,1999-00,
253,Brent Price,VAN,31,185.42,83.91452,1999-00,2944000.0
254,Brent Barry,SEA,28,198.12,88.45044,1999-00,3960000.0
255,Brad Miller,CHH,24,213.36,118.38751200000002,1999-00,
256,Charles R Jones,LAC,24,190.5,81.64656,1999-00,
257,Charlie Ward,NYK,29,187.96,86.18248,1999-00,4540000.0
258,Chauncey Billups,DEN,23,190.5,91.625584,1999-00,
259,Cherokee Parks,VAN,27,210.82,108.86208,1999-00,
260,Cory Alexander,DEN,27,185.42,86.18248,1999-00,
261,Corliss Williamson,SAC,26,200.66,111.13004,1999-00,
262,Corie Blount,PHX,31,208.28,109.769264,1999-00,
263,Corey Maggette,ORL,20,198.12,98.883056,1999-00,1259000.0
264,Corey Benjamin,CHI,22,198.12,92.98636,1999-00,
265,Clifford Robinson,PHX,33,208.28,102.0582,1999-00,6125000.0
266,Clar Weatherspoon,MIA,29,200.66,120.20188,1999-00,
267,Chucky Brown,CHH,32,203.2,97.52228,1999-00,
268,Chucky Atkins,ORL,25,180.34,72.57472,1999-00,
269,Chuck Person,SEA,36,203.2,109.315672,1999-00,
270,Bonzi Wells,POR,23,195.58,95.25432,1999-00,1428000.0
271,Christian Laettner,DET,30,210.82,111.13004,1999-00,
272,Chris Webber,SAC,27,208.28,111.13004,1999-00,
273,Chris Mullin,IND,36,200.66,97.52228,1999-00,
274,Chris Mills,GSW,30,200.66,97.975872,1999-00,4200000.0
275,Chris Herren,DEN,24,187.96,86.18248,1999-00,
276,Chris Gatling,DEN,32,208.28,99.79024,1999-00,
277,Chris Dudley,NYK,35,210.82,117.93392,1999-00,7100000.0
278,Chris Crawford,ATL,25,205.74,106.59412,1999-00,2000000.0
279,Chris Childs,NYK,32,190.5,88.45044,1999-00,4160000.0
280,Chris Carr,CHI,26,198.12,99.79024,1999-00,
281,Chris Anstey,CHI,25,213.36,112.944408,1999-00,
282,Chris Whitney,WAS,28,182.88,79.3786,1999-00,
283,Bobby Phills,CHH,30,195.58,95.25432,1999-00,
284,Bobby Jackson,MIN,27,185.42,83.91452,1999-00,
285,Bob Sura,CLE,27,195.58,90.7184,1999-00,3760000.0
286,Anthony Carter,MIA,25,185.42,86.18248,1999-00,
287,Anthony Avent,LAC,30,205.74,108.86208,1999-00,
288,Antawn Jamison,GSW,24,205.74,101.151016,1999-00,2503000.0
289,Anfernee Hardaway,PHX,28,200.66,97.52228,1999-00,
290,Andrew Lang,NYK,34,210.82,124.7378,1999-00,
291,Andrew DeClercq,CLE,27,208.28,104.32616,1999-00,
292,Andre Miller,CLE,24,187.96,92.079176,1999-00,1682000.0
293,Andrae Patterson,MIN,24,205.74,107.954896,1999-00,
294,Alvin Williams,TOR,25,195.58,83.91452,1999-00,
295,Alonzo Mourning,MIA,30,208.28,118.38751200000002,1999-00,15004000.0
296,Anthony Johnson,ORL,25,190.5,86.18248,1999-00,
297,Allen Iverson,PHI,25,182.88,74.84268,1999-00,
298,Aleksandar Radojevic,TOR,23,220.98,111.13004,1999-00,1325000.0
299,Alan Henderson,ATL,27,205.74,106.59412,1999-00,5318000.0
300,Al Harrington,IND,20,205.74,115.212368,1999-00,745000.0
301,Adrian Griffin,BOS,25,195.58,97.52228,1999-00,
302,Adonal Foyle,GSW,25,208.28,113.398,1999-00,
303,Adam Keefe,UTA,30,205.74,104.32616,1999-00,
304,Aaron Williams,WAS,28,205.74,102.0582,1999-00,
305,Aaron McKie,PHI,27,195.58,94.800728,1999-00,
306,AJ Bramlett,CLE,23,208.28,102.965384,1999-00,
307,AC Green,LAL,36,205.74,102.0582,1999-00,
308,Allan Houston,NYK,29,198.12,90.7184,1999-00,
309,Cuttino Mobley,HOU,24,193.04,86.18248,1999-00,
310,Anthony Mason,CHH,33,203.2,122.46984,1999-00,
311,Anthony Parker,ORL,25,198.12,97.52228,1999-00,
312,Bo Outlaw,ORL,29,203.2,95.25432,1999-00,
313,Bimbo Coles,ATL,32,187.96,82.553744,1999-00,
314,Billy Owens,GSW,31,205.74,102.0582,1999-00,
315,Bill Wennington,SAC,37,213.36,111.13004,1999-00,
316,Bill Curley,GSW,28,205.74,111.13004,1999-00,
317,Benoit Benjamin,CLE,35,213.36,113.398,1999-00,
318,Ben Wallace,ORL,25,205.74,108.86208,1999-00,
319,Ben Davis,PHX,27,205.74,111.13004,1999-00,
320,Baron Davis,CHH,21,190.5,95.25432,1999-00,2712000.0
321,BJ Armstrong,CHI,32,187.96,83.91452,1999-00,
322,Anthony Miller,HOU,28,205.74,115.66596,1999-00,
323,Avery Johnson,SAS,35,180.34,81.64656,1999-00,
324,Arvydas Sabonis,POR,35,220.98,132.448864,1999-00,
325,Armen Gilliam,UTA,36,205.74,117.93392,1999-00,
326,Antonio McDyess,DEN,25,205.74,99.79024,1999-00,9900000.0
327,Antonio Lang,PHI,28,203.2,92.98636,1999-00,
328,Antonio Harvey,POR,29,210.82,102.0582,1999-00,
329,Antonio Davis,TOR,31,205.74,104.32616,1999-00,
330,Antonio Daniels,SAS,25,193.04,92.98636,1999-00,
331,Antoine Walker,BOS,23,205.74,111.13004,1999-00,9000000.0
332,Antoine Carr,VAN,38,205.74,102.0582,1999-00,
333,Anthony Peeler,MIN,30,193.04,94.347136,1999-00,2495000.0
334,Austin Croshere,IND,25,205.74,106.59412,1999-00,
335,Dale Davis,IND,31,210.82,104.32616,1999-00,4490000.0
336,Jason Terry,ATL,22,187.96,78.017824,1999-00,1468000.0
337,Damon Jones,DAL,23,190.5,83.91452,1999-00,
338,Glenn Robinson,MIL,27,200.66,104.32616,1999-00,7250000.0
339,Glen Rice,LAL,33,203.2,99.79024,1999-00,
340,Gheorghe Muresan,NJN,29,231.14,137.438376,1999-00,
341,Gerard King,WAS,27,205.74,113.398,1999-00,
342,George McCloud,DEN,33,203.2,102.0582,1999-00,
343,George Lynch,PHI,29,203.2,103.418976,1999-00,
344,Gary Trent,DAL,25,203.2,113.398,1999-00,
345,Gary Payton,SEA,31,193.04,81.64656,1999-00,11020000.0
346,Gary Grant,POR,35,190.5,83.91452,1999-00,
347,Fred Vinson,SEA,29,193.04,86.18248,1999-00,
348,Fred Hoiberg,CHI,27,193.04,92.079176,1999-00,
349,Felton Spencer,SAS,32,213.36,120.20188,1999-00,
350,Felipe Lopez,VAN,25,198.12,88.45044,1999-00,
351,Evan Eschmeyer,NJN,25,210.82,115.66596,1999-00,
352,Etdrick Bohannon,LAC,27,205.74,106.59412,1999-00,
353,Ervin Johnson,MIL,32,210.82,111.13004,1999-00,2951000.0
354,Erick Strickland,DAL,26,190.5,95.25432,1999-00,
355,Erick Dampier,GSW,24,210.82,120.20188,1999-00,4988000.0
356,Eric Williams,BOS,27,203.2,99.79024,1999-00,3336000.0
357,Eric Snow,PHI,27,190.5,92.532768,1999-00,3000000.0
358,Eric Piatkowski,LAC,29,200.66,97.52228,1999-00,
359,Grant Hill,DET,27,203.2,102.0582,1999-00,
360,Grant Long,VAN,34,205.74,112.490816,1999-00,
361,Greg Anthony,POR,32,185.42,81.64656,1999-00,
