Player Name,Season,Salary
Kevin Ollie,2000-01,523500.0
Moochie Norris,2000-01,523500.0
Tyus Edney,2000-01,523500.0
Jeff McInnis,2000-01,523500.0
Etdrick Bohannon,2000-01,523500.0
Troy Hudson,2000-01,523500.0
Roy Rogers,2000-01,523500.0
Ryan Bowen,2000-01,510000.0
Ansu Sesay,2000-01,508000.0
Laron Profit,2000-01,508000.0
Adrian Griffin,2000-01,498500.0
Earl Boykins,2000-01,498500.0
William Cunningham,2000-01,498500.0
Mark Pope,2000-01,498500.0
Andrae Patterson,2000-01,498500.0
Kornel David,2000-01,498500.0
Gerard King,2000-01,489500.0
Leon Smith,2000-01,483680.0
Michael Ruffin,2000-01,440000.0
Evan Eschmeyer,2000-01,423500.0
Rodney Buford,2000-01,423500.0
Michael Hawkins,2000-01,423500.0
Lari Ketner,2000-01,423500.0
Maceo Baston,2000-01,423500.0
Jonathan Kerner,2000-01,423500.0
Lazaro Borrell,2000-01,423500.0
Jermaine Jackson,2000-01,423500.0
Todd MacCulloch,2000-01,423500.0
Derrick Dial,2000-01,423500.0
Calvin Booth,2000-01,423500.0
Obinna Ekezie,2000-01,423500.0
Hanno Mottola,2000-01,316969.0
Mark Blount,2000-01,316969.0
Milt Palacio,2000-01,316969.0
Chris Herren,2000-01,316969.0
Soumaila Samake,2000-01,316969.0
Stephen Jackson,2000-01,316969.0
Lee Nailon,2000-01,316969.0
Terrance Roberson,2000-01,316969.0
AJ Guyton,2000-01,316969.0
Jake Voskuhl,2000-01,316969.0
Khalid El-Amin,2000-01,316969.0
Eduardo Najera,2000-01,316969.0
Brian Cardinal,2000-01,316969.0
Torraye Braggs,2000-01,316969.0
Marc Jackson,2000-01,316969.0
Chris Porter,2000-01,316969.0
Dan Langhi,2000-01,316969.0
Zendon Hamilton,2000-01,316969.0
Stanislav Medvedenko,2000-01,316969.0
Mike Penberthy,2000-01,316969.0
Eddie House,2000-01,316969.0
Jason Hart,2000-01,316969.0
Michael Redd,2000-01,316969.0
Lavor Postell,2000-01,316969.0
Pete Mickeal,2000-01,316969.0
Olumide Oyedeji,2000-01,316969.0
Ruben Wolkowyski,2000-01,316969.0
Pepe Sanchez,2000-01,316969.0
Ademola Okulaja,2000-01,316969.0
Daniel Santiago,2000-01,316969.0
Paul McPherson,2000-01,316969.0
Ruben Garces,2000-01,316969.0
Jabari Smith,2000-01,316969.0
Ira Newble,2000-01,316969.0
Chris Carrawell,2000-01,316969.0
Garth Joseph,2000-01,316969.0
Mike Smith,2000-01,316969.0
Mark Karcher,2000-01,50000.0
Anthony Miller,2000-01,40000.0
Jamal Robinson,2000-01,40000.0
Shaquille O'Neal,2001-02,21428572.0
Kevin Garnett,2001-02,22400000.0
Alonzo Mourning,2001-02,18754800.0
Juwan Howard,2001-02,18750000.0
Scottie Pippen,2001-02,18083564.0
Karl Malone,2001-02,17500000.0
Larry Johnson,2001-02,11335714.0
Gary Payton,2001-02,12926493.0
Rasheed Wallace,2001-02,14400000.0
Shawn Kemp,2001-02,12660000.0
Damon Stoudamire,2001-02,12375000.0
Antonio McDyess,2001-02,11700000.0
Ray Allen,2001-02,11250000.0
Antoine Walker,2001-02,11250000.0
Stephon Marbury,2001-02,11250000.0
Vlade Divac,2001-02,10444642.0
Bryant Reeves,2001-02,11555554.0
Tom Gugliotta,2001-02,10114000.0
Nick Van Exel,2001-02,10164642.0
Elden Campbell,2001-02,7975000.0
Terrell Brandon,2001-02,9300000.0
Derrick Coleman,2001-02,8710000.0
Glenn Robinson,2001-02,8990000.0
Steve Smith,2001-02,9000000.0
