,player,Year,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
campbel01LAL,Elden Campbell,1995,PF,26,LAL,73,2076,15.4,.500,.001,.369,8.9,14.8,11.9,6.8,1.7,4.4,9.7,21.0,,1.5,2.3,3.8,.087,,-1.6,0.0,-1.6,0.2
campbto01CLE,Tony Campbell,1995,SF,32,CLE,78,1128,12.9,.508,.107,.406,6.4,10.6,8.5,11.1,1.6,0.6,12.3,22.4,,0.7,1.4,2.1,.089,,-2.0,-0.4,-2.3,-0.1
carran01UTA,Antoine Carr,1995,C,33,UTA,78,1677,13.9,.588,.007,.368,6.4,13.0,9.9,6.2,0.7,3.3,12.1,19.5,,2.4,1.9,4.3,.123,,-1.4,-0.2,-1.6,0.2
cartwbi01SEA,Bill Cartwright,1995,C,37,SEA,29,430,4.0,.434,.000,.348,7.0,16.8,12.0,3.0,0.7,0.5,18.5,9.8,,-0.2,0.4,0.2,.021,,-5.2,-1.0,-6.2,-0.5
cassesa01HOU,Sam Cassell,1995,PG,25,HOU,82,1882,15.9,.556,.322,.428,2.4,10.1,6.4,32.3,2.5,0.5,19.2,20.8,,2.7,2.0,4.7,.120,,0.0,0.2,0.3,1.1
causwdu01SAC,Duane Causwell,1995,C,26,SAC,58,820,11.4,.550,.007,.667,8.3,16.3,12.4,2.7,0.9,7.3,14.8,12.1,,0.5,1.3,1.8,.105,,-3.9,2.5,-1.4,0.1
cebalce01LAL,Cedric Ceballos,1995,SF,25,LAL,58,2029,19.9,.570,.149,.299,9.2,16.1,12.6,8.9,1.5,0.6,11.5,26.5,,3.5,1.7,5.2,.123,,2.8,-1.9,0.9,1.5
chambto01UTA,Tom Chambers,1995,PF,35,UTA,81,1240,12.5,.517,.056,.316,7.0,14.1,10.7,8.9,1.0,2.0,9.7,19.7,,1.2,1.4,2.5,.098,,-1.8,-0.4,-2.3,-0.1
chapmre01WSB,Rex Chapman,1995,SG,27,WSB,45,1468,15.3,.516,.429,.249,1.7,7.3,4.4,13.9,2.3,0.7,8.0,23.0,,1.7,0.8,2.5,.081,,1.1,-0.4,0.7,1.0
cheanca01WSB,Calbert Cheaney,1995,SG,23,WSB,78,2651,14.2,.529,.251,.189,4.4,9.7,7.0,11.0,1.5,0.6,11.0,22.6,,2.1,1.1,3.2,.058,,0.3,-1.3,-1.1,0.6
